id,brand,model,year,fuel,kms,price,transmission
604523073b0f7832ae27adf2,Smart,ForTwo,2008,p,123788.0,8000.0,
62b46aa19cb3447a1d0637b3,Mazda,CX,2007,p,215000.0,7300.0,
6310e283e2f7c8994303d6f6,Honda,Jazz,2008,p,195000.0,6300.0,
6307ba166241ead0b1032d83,Hyundai,Santa,2010,d,186000.0,12600.0,
630475c9004360e1b7007e92,Audi,80,1992,p,255000.0,2800.0,
6320a0dcd6f40bb5770decc2,Mercedes-Benz,CLK,2003,p,202559.0,6850.0,
6335aeef47d6fb77cf010d04,Ford,Galaxy,2004,d,234000.0,4998.0,
6342b0e36a4ba5544207b3d2,Renault,Megane,2002,p,155000.0,2600.0,
63427b54872417b7c703a473,Toyota,Yaris,2007,p,178000.0,8700.0,
629a63d9d7524730420a11d4,Audi,A6,2005,d,292000.0,7999.0,
63417f440bf0e11ec408c1b2,Peugeot,308,2013,d,179000.0,16000.0,
634012d28de950405f0ac882,Volvo,S80,2000,d,289000.0,3200.0,
63065c82e28578861e033ae2,Suzuki,Vitara,1996,d,127000.0,6690.0,
62ae0dda95e0c17fbb094084,BMW,X6,2011,d,240000.0,37499.0,
62e2896721b949f6570afa82,Citroen,Berlingo,2004,d,200000.0,4900.0,
627b5bf3cd29d9c83e0dc826,Toyota,RAV,2007,p,200009.0,15999.0,
633ad6d6ea6c1a036e0cb182,Mercedes-Benz,C,2000,d,300000.0,5000.0,
6342d3d49eaf681f8b040d14,BMW,530,2005,d,280000.0,17500.0,
62e554897d09c1e767093892,Ssangyong,REXTON,2007,d,244000.0,6900.0,
6342d3c9cb4e00f3580df1d5,Audi,A8,2007,d,233709.0,21700.0,
6342d31398e9d480fc067376,Toyota,Avensis,2011,p,171000.0,14900.0,
6342d2d6729103fc990b1732,Peugeot,307,2008,d,185000.0,4900.0,
6342d2bb06b5b54eaa006ea2,Daihatsu,YRV,2004,p,120000.0,2499.0,
6342d1f6110c1daf19084ba6,Dacia,Logan,2014,p,181600.0,11800.0,
6320b81ba0af4a68dc0474c2,Suzuki,Grand,2006,d,251000.0,9100.0,
6342d257c132f9abce00e873,Audi,Q7,2007,d,250000.0,15500.0,
6342d14fcf9096374c0a01c3,VW,Golf,2002,p,304780.0,4000.0,
62eac68de22bce4045067b03,Mercedes-Benz,ML,2003,d,300000.0,7999.0,
